Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,life expentancy at birth,women peace and security index,Military expenditure %ofEconomy,Unemployment rate,prevalence of undernourishment by %,death rate from obesity
Tunisia,2017,89th,74.2,8.3,7.8,7.7,6.7,4.9,6.1,6.5,4.4,6.5,4.2,4.7,6.4,76.31,0.663,2.070079404,15.38000011,4.3,91.82327349
Ukraine,2017,90th,74,7.6,8,6.7,6.8,4.2,5.2,8.2,3.7,6.2,4.2,4.6,8.6,71.78097561,0.646,3.412974586,9.454999924,3.5,135.6371879
Gabon,2017,91st,73.8,5.2,7.4,3.8,5.5,6.5,6.1,8.2,6.7,7.5,6.7,4.5,5.7,65.839,0.592,2.055643885,19.6590004,10.5,95.59185821
El Salvador,2017,92nd,73.1,7.3,4.3,6.7,5.4,6.4,7.9,4.8,6.4,6.3,6.9,4.8,5.9,72.872,0.685,0.900517694,4.491000175,9,94.72979961
Bosnia and Herzegovina,2017,93rd,73,5.7,8.7,7,5.7,5.1,5.5,6.5,3.6,5.6,3.8,7.6,8.2,77.128,0.734,0.899375541,25.56200027,,86.79733278
Indonesia,2017,94th,72.9,6.2,7,7.1,4.5,5.8,6.9,5.1,5.9,7.2,6.6,5.4,5.2,71.282,0.669,0.809337386,4.179999828,8.3,61.3426432
Belarus,2017,95th,72.4,6.1,8.3,7.1,6,4.7,3.4,8.7,4.2,7.9,5.1,3.6,7.3,74.12926829,0.767,1.191985314,0.481000006,,122.4859534
South Africa,2017,96th,72.3,6.1,6.1,6.7,7.1,7.5,5.5,6.5,7,4.2,7.2,5.4,3,63.538,0.732,1.047490323,27.32999992,6.2,108.7600972
Sao Tome and Principe,2017,97th,72.1,5,6.3,4.5,8.5,6,8.5,5.6,5.9,3.3,6.2,4.4,7.9,69.933,,,13.47200012,7,71.54577303
Moldova,2017,98th,72,6.1,8.3,7.3,6.4,4.8,6.6,6.6,4.9,4.9,4.8,3.9,7.4,71.717,0.671,0.420677746,4.453999996,,115.0813003
Paraguay,2017,99th,71.6,6.6,7.8,5.8,5,7.9,5.8,7,6.2,5.9,5.7,3.1,4.8,73.992,0.696,1.184159316,4.610000134,10.7,83.0128157
Guyana,2017,100th,71.3,6.4,5.1,6.7,6,5.7,9.4,5.4,6.2,3.5,5.8,3.8,7.3,69.624,,1.443677254,12.03999996,8.1,134.6357979
Saudi Arabia,2017,101st,71.2,6.3,8.2,7.8,4.5,5,3.8,8,3.8,9.1,5.3,4.7,4.7,74.874,0.655,10.28867103,5.522999763,7.1,116.6973007
Armenia,2017,102nd,71,5.5,7.4,6.1,6.3,4.5,6.2,7.6,3.6,7,3.1,7,6.7,74.797,0.654,3.968039367,18.23399925,4.3,93.05219689
Namibia,2017,103rd,70.4,5.5,3.5,5.8,6.8,8.2,7.1,3.3,7.4,3.8,7.6,5,6.4,63.021,0.735,3.382266979,23.33499908,27.3,81.99591401
Peru,2017,104th,70.3,7.1,6.9,7.4,3.2,7.4,7.3,7.2,6.7,4.3,5,4.3,3.5,76.286,0.693,0.977383367,3.59100008,9.7,38.56387972
Vietnam,2017,105th,70.2,4.6,6.9,6,5.1,5,6.2,8.3,4.7,7.4,6.1,4.7,5.2,75.241,0.665,2.286510712,2.052999973,9.3,32.35471621
Cape Verde,2017,106th,70.1,5.4,5.5,4.1,5.2,7.1,8,5.3,6,4,7.2,4.2,8.1,,,0.542081123,10.33899975,12.6,49.04372985
Serbia,2017,107th,70,5.5,8,7.3,6.4,4.8,5.3,5.2,4.2,4.4,4.3,8.4,6.2,75.53902439,0.804,1.82850057,14.10499954,5.7,118.9738291
Ghana,2017,108th,69.7,3.8,5.2,4.4,6.1,6.6,8.2,4.2,7.8,5.1,6.6,5,6.7,63.463,0.701,0.406035055,2.355000019,5.5,84.04344622
Dominican Republic,2017,109th,69,5.8,6.2,5.8,5.5,5.8,7.1,5.5,6.3,5.8,6.5,3.3,5.4,73.689,0.707,0.661908657,5.486000061,9.5,98.24823257
Brazil,2017,110th,68.2,6.7,4.9,6.2,4.8,7.8,4.6,6.2,6.4,6.4,8.1,2.8,3.3,75.456,0.677,1.410026024,13.31999969,,73.90314557
Samoa,2017,111th,67.1,4.7,5.1,4.5,6.3,4.9,9.5,5.5,4.9,4.1,5.7,2.7,9.2,73.046,,,8.206000328,2.7,147.7520715
Macedonia,2017,112th,66.1,5.6,7.3,6.9,5.8,5.2,5.2,5.8,3.9,3.8,3.3,7.3,6,,0.766,0.982591846,22.37999916,3.2,96.86527868
Kazakhstan,2017,113th,65.9,5.2,7.6,7.6,6.4,4.2,3.6,8.3,4,7.3,4.5,3,4.2,72.95,0.741,0.841222462,4.900000095,,143.4021517
Suriname,2017,113th,65.9,4.9,5.8,5.8,7.1,6.1,6.8,5,5.6,4.6,5.3,3,5.9,71.463,0.718,,8.123999596,8.5,114.2149959
Belize,2017,115th,65.5,6.4,4.3,4.1,6.7,5.4,6.6,5.2,5.9,4.7,5.1,3.6,7.5,74.365,0.682,1.25308389,9.329999924,7.5,100.9858926
Malaysia,2017,116th,65.4,6.3,6.8,6.5,3.1,5,5,7.7,4.2,8,5.3,3.7,3.8,75.828,0.665,1.125453052,3.414999962,2.5,72.67572955
Jamaica,2017,117th,65.2,6.9,3.7,3.4,6.9,5.1,8.4,4.8,6.4,5.5,5.2,3.1,5.8,74.267,0.755,0.903537785,12.44799995,8,104.1804966
Bahrain,2017,118th,64.9,6.9,7.6,8.4,3.8,4.6,3.5,8.2,1.8,8.8,4.1,2.4,4.8,77.032,0.709,4.12382634,1.200999975,,117.1386725
Cuba,2017,119th,64.6,5.2,7,4,4,5.4,5.2,7.6,4.1,7.5,5.5,4,5.1,78.662,,,2.53399992,,57.84240097
Botswana,2017,120th,63.8,4.1,3.3,4.9,5.8,7.8,5.5,3.3,7.3,5,8.2,4.5,4.1,68.812,0.656,3.052535478,17.35700035,26.4,113.698061
Cyprus,2017,121st,62.6,4.4,7.9,6.3,6,5.9,4,4.8,2.5,3,3.5,5.3,9,80.672,0.802,1.879580803,11.03999996,5.6,43.56589885
Brunei Darussalam,2017,122nd,61.6,5.1,7.4,5.9,3.5,7.8,4.6,8.3,1.8,7.7,3.7,2.2,3.6,75.585,,,,,
Grenada,2017,123rd,61.5,5.7,5.6,3.8,6,4.8,8.4,5.4,3.8,3.2,4.7,3,7.1,72.388,,,,,92.10971888
Albania,2017,124th,60.5,4.7,6.2,4.5,5.4,3.6,7.6,5.7,4,4.8,3.7,3.6,6.7,78.333,0.714,1.244175124,13.86699963,6.2,64.28686599
Seychelles,2017,125th,59.4,6.1,6,4.5,4.1,5.5,5.9,5.5,2.7,3.8,5.1,3.2,7,74.3,,1.565581735,,,75.29636898
Kuwait,2017,126th,58.5,4.2,7.8,4.7,3,4.2,3.6,7.2,2.6,7.9,5,3.5,4.8,75.311,0.675,5.751165768,2.137000084,2.8,64.84855731
Greece,2017,127th,57.5,4.5,4.1,5.4,6.5,3.7,3.3,6.7,3.8,3.2,3.7,6.5,6.1,81.28780488,0.76,2.506157184,21.48999977,,48.64695492
Mongolia,2017,128th,56.7,3.6,5.5,3.8,5,6.4,3.3,4,5.4,4.5,5.1,3,7.1,69.509,0.761,0.737103434,6.959000111,13.4,126.890717
Trinidad and Tobago,2017,128th,56.7,6.3,5.6,4.2,4.4,4.9,8.1,4.5,4.3,4.1,4.5,2.7,3.1,73.245,0.743,0.891169421,4.842000008,5.5,125.8716423
Montenegro,2017,130th,55.7,4,6.5,7.9,5.2,2.4,4,4.6,3.1,4.1,2.8,4.6,6.5,76.667,0.77,1.667098741,16.06999969,,98.95802444
Antigua and Barbuda,2017,131st,54.8,5.7,3.7,3.9,4.5,4.5,6.8,5.4,3.8,4.4,4.1,2.7,5.3,76.752,,,,,81.10907427
Bulgaria,2017,132nd,53.7,4.3,5.3,5.1,5.7,4.4,4.2,4.5,4.4,3.3,3.7,4.5,4.3,74.81463415,0.735,1.55429169,6.159999847,3.6,125.1414407
Oman,2017,133rd,52.5,4.2,6.6,2.9,4.1,4.6,2.5,6.8,3.5,7.7,4.8,2.5,2.3,77.393,,12.07271965,3.25,6.8,112.8033799
Bahamas,2017,134th,52.4,4.6,4.5,4.1,4.8,4.5,4.7,3.8,4.6,3.6,6.9,2.6,3.7,,,,12.57299995,,108.65429
Hungary,2017,135th,52,2.7,5.3,4.8,5.4,3.8,3.3,6.1,3.2,5.2,1.8,6.5,3.9,75.81707317,0.739,1.054926931,4.159999847,,94.78846445
Romania,2017,136th,50.9,3,5.4,6.8,4.7,4.2,4.5,5.2,3.8,3.7,3.2,2.8,3.6,75.3097561,0.739,1.971666647,4.929999828,,109.073181
Panama,2017,137th,50.7,5.4,2.2,5.6,2.6,7.4,4.6,3.2,4.8,4.3,4.9,3,2.7,78.149,0.694,,4.486999989,10,52.1793605
Croatia,2017,138th,50.6,3.5,4.4,5.8,5.3,3.3,4.7,2.9,2.4,3.6,3.1,7,4.6,77.82682927,0.804,1.436930763,11.21000004,,79.17730235
Barbados,2017,139th,49.6,4.4,4.2,4.1,5.9,4.6,5.4,2.5,2.7,2.9,4.4,2.5,6,78.981,,,9.687000275,3.9,82.71267402
Argentina,2017,140th,48.2,4.3,2.8,5,4.3,5.4,3,4.8,3.8,4.1,3.8,2.3,4.6,76.372,0.715,0.909662993,8.517999649,4.6,69.93958082
Latvia,2017,141st,46.4,3,4.3,8,3.5,4.1,4.8,3.4,2.9,2.8,2.9,2.8,3.9,74.62926829,0.787,1.721653916,8.710000038,,106.4931278
Italy,2017,142nd,45.2,4.5,4.9,4.8,5.4,2.9,2,3.7,2.7,2,4.3,5.5,2.5,82.94634146,0.79,1.522312646,11.21000004,,36.25459955
Estonia,2017,143rd,44.7,3.3,5.9,7.3,3.5,3.2,4,2.7,2.9,1.7,2.8,3.1,4.3,78.09268293,0.809,2.098303197,5.760000229,2.9,93.58646034
Slovak Republic,2017,144th,44.3,1.8,4.7,6.9,4.6,3.5,4.2,4.3,2.4,2.5,2.3,3.8,3.3,77.16585366,,,,,
Costa Rica,2017,145th,44.1,3.6,3.8,4.2,4,5.3,4.1,2.4,3.9,1.5,3.3,3.9,4.1,79.914,0.73,,8.140000343,4.8,56.72134308
Qatar,2017,146th,44,2.6,5,4.6,2.1,4.7,2.6,6.3,1.3,6.3,3.8,2,2.7,79.981,0.707,,0.122000001,,124.9753813
United Arab Emirates,2017,147th,43.7,3.1,3.6,3.4,2.4,3.4,2.5,6.7,2.2,7.8,4,2.2,2.4,77.647,0.746,,1.672000051,2.6,156.9462373
Lithuania,2017,148th,41.7,3.1,3,4.4,4.5,4.5,4.4,2.7,3.5,2.5,2.8,2.3,4,75.4804878,0.79,1.748493554,7.070000172,,98.2680289
Mauritius,2017,148th,41.7,2.3,3.2,3.6,4,3.5,4.4,3,3.3,3.4,3.6,2.7,4.7,74.51463415,0.705,0.180650269,7.130000114,6.5,117.5288819
Chile,2017,150th,41.1,3.2,2.2,3.6,3.2,5.7,3.8,3.3,4,3,4.9,2.1,2.1,79.909,0.713,1.910061854,6.960000038,2.7,59.23641674
Poland,2017,151st,40.8,1.8,4.2,5.4,3.6,3,4.5,3.3,2.3,3.2,3,3.6,2.9,77.75365854,0.799,1.956785625,4.889999866,,77.20940477
Czech Republic,2017,152nd,40.1,2.6,5,4.8,4.6,2.7,2.8,4.7,2.6,2.4,1.4,3.8,2.7,78.97804878,0.797,1.051766912,2.890000105,,74.92292725
Malta,2017,153rd,38.6,3.6,2,3.9,4,2.6,3.7,3.6,2,3,2.5,4.4,3.3,82.34634146,0.795,0.531739045,4.010000229,,50.89008525
South Korea,2017,154th,38.1,2.1,4.3,2.9,2,3,3.9,4.4,1.9,2.9,3.1,2,5.6,,,2.554897599,3.730000019,,19.68041215
Spain,2017,155th,37.9,2.8,6.3,5.7,5.2,3.5,1.9,2.8,2.2,1.8,2,1.9,1.8,83.28292683,0.86,1.242562307,17.21999931,,36.36572773
Japan,2017,156th,37.4,1.6,2.6,3.7,4.1,1.6,3.2,1.2,2.2,3,6,4.4,3.8,84.0997561,0.798,0.934960014,2.829999924,,14.41708212
Uruguay,2017,157th,36.8,3.8,2.7,2.5,3.6,4.1,4.4,1,2.9,2.8,3.8,2.5,2.7,77.632,0.714,2.051628487,7.889999866,,62.5916975
United States,2017,158th,35.6,3.2,5.3,6,2.4,4.3,1.7,1.9,1.6,3.2,2.8,2,1.2,78.53902439,0.81,3.149221576,4.360000134,,71.95058004
France,2017,159th,33.5,3.3,1.9,7,4.3,3.2,2.2,1.3,1.1,2.1,2.8,2.5,1.8,82.52682927,0.817,2.255228621,9.399999619,,28.03139458
United Kingdom,2017,160th,33.2,2.7,4.5,6.4,3.6,3.6,2.1,1.5,1.6,1.7,2.4,2.1,1,81.25609756,0.845,1.834836771,4.329999924,,41.79403256
Singapore,2017,161st,32.5,1.6,4,2.6,2,3.8,3.3,3.9,1.3,4.6,2.5,1.7,1.2,83.09512195,0.846,3.321161651,2.023999929,,22.62171152
Slovenia,2017,162nd,32.4,1.6,1.7,4.5,3.8,3.4,3.1,2.7,1.5,1.5,2.3,4,2.3,81.02926829,0.861,0.998213669,6.559999943,,53.08172134
Belgium,2017,163rd,30.8,2.4,4.4,4.9,4.2,2.7,1.6,1.4,2.3,1.5,2,2.4,1,81.49268293,0.846,0.909485094,7.090000153,,34.49544451
Portugal,2017,164th,29,1.3,2.5,2.5,5.3,2.5,2.2,1.6,2.2,1.8,2.1,2.2,2.8,81.42439024,0.822,1.73364325,8.869999886,,40.76666466
Germany,2017,165th,28.1,2.1,2.3,5,2.2,2.8,2.1,1,1.1,1.1,2,5.4,1,80.99268293,0.845,1.220135871,3.75,,48.68925205
Austria,2017,166th,27.7,1,3.2,4.5,2.2,2.9,1.5,1.4,1.1,1.2,1.9,5.6,1.2,81.64390244,0.841,0.729355232,5.5,,45.23190183
Netherlands,2017,167th,27.4,1.5,3.1,4.5,2.7,2.2,2.6,1.3,1,1,2.5,3.8,1.2,81.76097561,0.854,1.225072121,4.840000153,,33.37120591
Luxembourg,2017,168th,23.4,1.7,3.4,3.1,1.2,1.6,2.1,1,2.1,1,1.6,3.5,1.1,82.09512195,0.841,0.506057733,5.519999981,,41.83468757
Canada,2017,169th,22.6,2.2,2.5,3.4,1.8,2.5,1.7,1,1.5,1.3,1.9,1.8,1,81.94878049,0.854,1.253960038,6.340000153,,45.21448765
New Zealand,2017,170th,22.6,1.2,1.4,3.6,3.6,2.3,2.1,0.9,1.4,1,2.1,1.8,1.2,81.65853659,0.826,1.158444225,4.881000042,,44.6705772
Iceland,2017,171st,22.5,1,1.8,1.3,3.3,1.1,2.8,1.3,1.2,1,1.6,2,4.1,82.66097561,0.886,,2.75,,38.89477721
Australia,2017,172nd,22.3,2.1,1.7,3.9,1.7,2.2,1.3,1,1.5,2.3,1.3,2.3,1,82.5,0.827,1.989292632,5.590000153,,44.11332155
Ireland,2017,172nd,22.3,2.1,1.5,1.4,3.4,2.2,2.8,1,1.4,1.4,1.7,2,1.4,82.15609756,0.823,0.35678059,6.399000168,,37.49657816
Sweden,2017,174th,22.1,2.1,1.8,1.5,1.8,1.8,1.5,1,1.1,1.1,2,5.3,1.1,82.4097561,0.854,1.025253898,6.71999979,,36.55458423
Denmark,2017,175th,21.5,1.7,1.4,4.4,2,1.6,1.9,0.9,1,1.5,2,2.1,1,81.10243902,0.845,1.174356353,5.739999771,,34.35149912
Switzerland,2017,176th,21.1,1.1,1,3.6,2.3,2.2,2.1,1,1,1.8,1.5,2.5,1,83.55121951,0.871,0.683630213,4.800000191,,28.4534651
Norway,2017,177th,20.5,2,1.1,3.6,2.2,1.5,1.6,0.8,1,1.1,1.5,2.8,1.3,82.6097561,0.879,1.643375913,4.159999847,,31.84103011
Finland,2017,178th,0,1.7,1.1,1.8,3.5,1,2.3,0.9,1,1,1.1,2.3,1,81.63170732,0.855,1.437758424,8.640000343,,45.31262945
