Country,Total,'C1: Security Apparatus','C2: Factionalized Elites','C3: Group Grievance','E1: Economy','E2: Economic Inequality','E3: Human Flight and Brain Drain','P1: State Legitimacy','P2: Public Services','P3: Human Rights','S1: Demographic Pressures','S2: Refugees and IDPs','X1: External Intervention','life expentancy at birth','women peace and security index','Military expenditure \%ofEconomy','Unemployment rate','prevalence of undernourishment by \%','death rate from obesity'
Oman,Stable,'\'(3.25-5.5]\'','\'(5.5-7.75]\'','\'(-inf-3.475]\'','\'(3.4-5.6]\'','\'(3.25-5.5]\'','\'(-inf-3.425]\'','\'(5.4-7.7]\'','\'(3.25-5.5]\'','\'(7.6-inf)\'','\'(3.325-5.55]\'','\'(-inf-3.775]\'','\'(-inf-3.25]\'','\'(76.1348-inf)\'',?,'\'(9.0548-inf)\'','\'(-inf-6.924]\'','\'(-inf-16.775]\'','\'(84.4183-154.4194]\''
Bahamas,Stable,'\'(3.25-5.5]\'','\'(3.25-5.5]\'','\'(3.475-5.65]\'','\'(3.4-5.6]\'','\'(3.25-5.5]\'','\'(3.425-5.55]\'','\'(3.1-5.4]\'','\'(3.25-5.5]\'','\'(3.2-5.4]\'','\'(5.55-7.775]\'','\'(-inf-3.775]\'','\'(3.25-5.5]\'',?,?,?,'\'(6.924-13.726]\'',?,'\'(84.4183-154.4194]\''
Hungary,Stable,'\'(-inf-3.25]\'','\'(3.25-5.5]\'','\'(3.475-5.65]\'','\'(3.4-5.6]\'','\'(3.25-5.5]\'','\'(-inf-3.425]\'','\'(5.4-7.7]\'','\'(-inf-3.25]\'','\'(3.2-5.4]\'','\'(-inf-3.325]\'','\'(5.85-7.925]\'','\'(3.25-5.5]\'','\'(68.1699-76.1348]\'','\'(0.6355-0.7608]\'','\'(-inf-3.0188]\'','\'(-inf-6.924]\'',?,'\'(84.4183-154.4194]\''
Romania,Stable,'\'(-inf-3.25]\'','\'(3.25-5.5]\'','\'(5.65-7.825]\'','\'(3.4-5.6]\'','\'(3.25-5.5]\'','\'(3.425-5.55]\'','\'(3.1-5.4]\'','\'(3.25-5.5]\'','\'(3.2-5.4]\'','\'(-inf-3.325]\'','\'(-inf-3.775]\'','\'(3.25-5.5]\'','\'(68.1699-76.1348]\'','\'(0.6355-0.7608]\'','\'(-inf-3.0188]\'','\'(-inf-6.924]\'',?,'\'(84.4183-154.4194]\''
Panama,Stable,'\'(3.25-5.5]\'','\'(-inf-3.25]\'','\'(3.475-5.65]\'','\'(-inf-3.4]\'','\'(5.5-7.75]\'','\'(3.425-5.55]\'','\'(3.1-5.4]\'','\'(3.25-5.5]\'','\'(3.2-5.4]\'','\'(3.325-5.55]\'','\'(-inf-3.775]\'','\'(-inf-3.25]\'','\'(76.1348-inf)\'','\'(0.6355-0.7608]\'',?,'\'(-inf-6.924]\'','\'(-inf-16.775]\'','\'(-inf-84.4183]\''
Croatia,Stable,'\'(3.25-5.5]\'','\'(3.25-5.5]\'','\'(5.65-7.825]\'','\'(3.4-5.6]\'','\'(3.25-5.5]\'','\'(3.425-5.55]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(3.2-5.4]\'','\'(-inf-3.325]\'','\'(5.85-7.925]\'','\'(3.25-5.5]\'','\'(76.1348-inf)\'','\'(0.7608-inf)\'','\'(-inf-3.0188]\'','\'(6.924-13.726]\'',?,'\'(-inf-84.4183]\''
Barbados,Stable,'\'(3.25-5.5]\'','\'(3.25-5.5]\'','\'(3.475-5.65]\'','\'(5.6-7.8]\'','\'(3.25-5.5]\'','\'(3.425-5.55]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(3.325-5.55]\'','\'(-inf-3.775]\'','\'(5.5-7.75]\'','\'(76.1348-inf)\'',?,?,'\'(6.924-13.726]\'','\'(-inf-16.775]\'','\'(-inf-84.4183]\''
Argentina,Stable,'\'(3.25-5.5]\'','\'(-inf-3.25]\'','\'(3.475-5.65]\'','\'(3.4-5.6]\'','\'(3.25-5.5]\'','\'(-inf-3.425]\'','\'(3.1-5.4]\'','\'(3.25-5.5]\'','\'(3.2-5.4]\'','\'(3.325-5.55]\'','\'(-inf-3.775]\'','\'(3.25-5.5]\'','\'(76.1348-inf)\'','\'(0.6355-0.7608]\'','\'(-inf-3.0188]\'','\'(6.924-13.726]\'','\'(-inf-16.775]\'','\'(-inf-84.4183]\''
Latvia,Stable,'\'(-inf-3.25]\'','\'(3.25-5.5]\'','\'(7.825-inf)\'','\'(3.4-5.6]\'','\'(3.25-5.5]\'','\'(3.425-5.55]\'','\'(3.1-5.4]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(-inf-3.775]\'','\'(3.25-5.5]\'','\'(68.1699-76.1348]\'','\'(0.7608-inf)\'','\'(-inf-3.0188]\'','\'(6.924-13.726]\'',?,'\'(84.4183-154.4194]\''
Italy,Stable,'\'(3.25-5.5]\'','\'(3.25-5.5]\'','\'(3.475-5.65]\'','\'(3.4-5.6]\'','\'(-inf-3.25]\'','\'(-inf-3.425]\'','\'(3.1-5.4]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(3.325-5.55]\'','\'(3.775-5.85]\'','\'(-inf-3.25]\'','\'(76.1348-inf)\'','\'(0.7608-inf)\'','\'(-inf-3.0188]\'','\'(6.924-13.726]\'',?,'\'(-inf-84.4183]\''
Estonia,Stable,'\'(3.25-5.5]\'','\'(5.5-7.75]\'','\'(5.65-7.825]\'','\'(3.4-5.6]\'','\'(-inf-3.25]\'','\'(3.425-5.55]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(-inf-3.775]\'','\'(3.25-5.5]\'','\'(76.1348-inf)\'','\'(0.7608-inf)\'','\'(-inf-3.0188]\'','\'(-inf-6.924]\'','\'(-inf-16.775]\'','\'(84.4183-154.4194]\''
'Slovak Republic',Stable,'\'(-inf-3.25]\'','\'(3.25-5.5]\'','\'(5.65-7.825]\'','\'(3.4-5.6]\'','\'(3.25-5.5]\'','\'(3.425-5.55]\'','\'(3.1-5.4]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(3.775-5.85]\'','\'(3.25-5.5]\'','\'(76.1348-inf)\'',?,?,?,?,?
'Costa Rica',Stable,'\'(3.25-5.5]\'','\'(3.25-5.5]\'','\'(3.475-5.65]\'','\'(3.4-5.6]\'','\'(3.25-5.5]\'','\'(3.425-5.55]\'','\'(-inf-3.1]\'','\'(3.25-5.5]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(3.775-5.85]\'','\'(3.25-5.5]\'','\'(76.1348-inf)\'','\'(0.6355-0.7608]\'',?,'\'(6.924-13.726]\'','\'(-inf-16.775]\'','\'(-inf-84.4183]\''
Qatar,Stable,'\'(-inf-3.25]\'','\'(3.25-5.5]\'','\'(3.475-5.65]\'','\'(-inf-3.4]\'','\'(3.25-5.5]\'','\'(-inf-3.425]\'','\'(5.4-7.7]\'','\'(-inf-3.25]\'','\'(5.4-7.6]\'','\'(3.325-5.55]\'','\'(-inf-3.775]\'','\'(-inf-3.25]\'','\'(76.1348-inf)\'','\'(0.6355-0.7608]\'',?,'\'(-inf-6.924]\'',?,'\'(84.4183-154.4194]\''
'United Arab Emirates',Stable,'\'(-inf-3.25]\'','\'(3.25-5.5]\'','\'(-inf-3.475]\'','\'(-inf-3.4]\'','\'(3.25-5.5]\'','\'(-inf-3.425]\'','\'(5.4-7.7]\'','\'(-inf-3.25]\'','\'(7.6-inf)\'','\'(3.325-5.55]\'','\'(-inf-3.775]\'','\'(-inf-3.25]\'','\'(76.1348-inf)\'','\'(0.6355-0.7608]\'',?,'\'(-inf-6.924]\'','\'(-inf-16.775]\'','\'(154.4194-224.4206]\''
Lithuania,Stable,'\'(-inf-3.25]\'','\'(-inf-3.25]\'','\'(3.475-5.65]\'','\'(3.4-5.6]\'','\'(3.25-5.5]\'','\'(3.425-5.55]\'','\'(-inf-3.1]\'','\'(3.25-5.5]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(-inf-3.775]\'','\'(3.25-5.5]\'','\'(68.1699-76.1348]\'','\'(0.7608-inf)\'','\'(-inf-3.0188]\'','\'(6.924-13.726]\'',?,'\'(84.4183-154.4194]\''
Mauritius,Stable,'\'(-inf-3.25]\'','\'(-inf-3.25]\'','\'(3.475-5.65]\'','\'(3.4-5.6]\'','\'(3.25-5.5]\'','\'(3.425-5.55]\'','\'(-inf-3.1]\'','\'(3.25-5.5]\'','\'(3.2-5.4]\'','\'(3.325-5.55]\'','\'(-inf-3.775]\'','\'(3.25-5.5]\'','\'(68.1699-76.1348]\'','\'(0.6355-0.7608]\'','\'(-inf-3.0188]\'','\'(6.924-13.726]\'','\'(-inf-16.775]\'','\'(84.4183-154.4194]\''
Chile,Stable,'\'(-inf-3.25]\'','\'(-inf-3.25]\'','\'(3.475-5.65]\'','\'(-inf-3.4]\'','\'(5.5-7.75]\'','\'(3.425-5.55]\'','\'(3.1-5.4]\'','\'(3.25-5.5]\'','\'(-inf-3.2]\'','\'(3.325-5.55]\'','\'(-inf-3.775]\'','\'(-inf-3.25]\'','\'(76.1348-inf)\'','\'(0.6355-0.7608]\'','\'(-inf-3.0188]\'','\'(6.924-13.726]\'','\'(-inf-16.775]\'','\'(-inf-84.4183]\''
Poland,Stable,'\'(-inf-3.25]\'','\'(3.25-5.5]\'','\'(3.475-5.65]\'','\'(3.4-5.6]\'','\'(-inf-3.25]\'','\'(3.425-5.55]\'','\'(3.1-5.4]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(-inf-3.775]\'','\'(-inf-3.25]\'','\'(76.1348-inf)\'','\'(0.7608-inf)\'','\'(-inf-3.0188]\'','\'(-inf-6.924]\'',?,'\'(-inf-84.4183]\''
'Czech Republic',Stable,'\'(-inf-3.25]\'','\'(3.25-5.5]\'','\'(3.475-5.65]\'','\'(3.4-5.6]\'','\'(-inf-3.25]\'','\'(-inf-3.425]\'','\'(3.1-5.4]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(3.775-5.85]\'','\'(-inf-3.25]\'','\'(76.1348-inf)\'','\'(0.7608-inf)\'','\'(-inf-3.0188]\'','\'(-inf-6.924]\'',?,'\'(-inf-84.4183]\''
Malta,Stable,'\'(3.25-5.5]\'','\'(-inf-3.25]\'','\'(3.475-5.65]\'','\'(3.4-5.6]\'','\'(-inf-3.25]\'','\'(3.425-5.55]\'','\'(3.1-5.4]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(3.775-5.85]\'','\'(3.25-5.5]\'','\'(76.1348-inf)\'','\'(0.7608-inf)\'','\'(-inf-3.0188]\'','\'(-inf-6.924]\'',?,'\'(-inf-84.4183]\''
'South Korea',Stable,'\'(-inf-3.25]\'','\'(3.25-5.5]\'','\'(-inf-3.475]\'','\'(-inf-3.4]\'','\'(-inf-3.25]\'','\'(3.425-5.55]\'','\'(3.1-5.4]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(-inf-3.775]\'','\'(5.5-7.75]\'',?,?,'\'(-inf-3.0188]\'','\'(-inf-6.924]\'',?,'\'(-inf-84.4183]\''
Spain,Stable,'\'(-inf-3.25]\'','\'(5.5-7.75]\'','\'(5.65-7.825]\'','\'(3.4-5.6]\'','\'(3.25-5.5]\'','\'(-inf-3.425]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(-inf-3.775]\'','\'(-inf-3.25]\'','\'(76.1348-inf)\'','\'(0.7608-inf)\'','\'(-inf-3.0188]\'','\'(13.726-20.528]\'',?,'\'(-inf-84.4183]\''
Japan,Stable,'\'(-inf-3.25]\'','\'(-inf-3.25]\'','\'(3.475-5.65]\'','\'(3.4-5.6]\'','\'(-inf-3.25]\'','\'(-inf-3.425]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(5.55-7.775]\'','\'(3.775-5.85]\'','\'(3.25-5.5]\'','\'(76.1348-inf)\'','\'(0.7608-inf)\'','\'(-inf-3.0188]\'','\'(-inf-6.924]\'',?,'\'(-inf-84.4183]\''
Uruguay,Stable,'\'(3.25-5.5]\'','\'(-inf-3.25]\'','\'(-inf-3.475]\'','\'(3.4-5.6]\'','\'(3.25-5.5]\'','\'(3.425-5.55]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(3.325-5.55]\'','\'(-inf-3.775]\'','\'(-inf-3.25]\'','\'(76.1348-inf)\'','\'(0.6355-0.7608]\'','\'(-inf-3.0188]\'','\'(6.924-13.726]\'',?,'\'(-inf-84.4183]\''
'United States',Stable,'\'(-inf-3.25]\'','\'(3.25-5.5]\'','\'(5.65-7.825]\'','\'(-inf-3.4]\'','\'(3.25-5.5]\'','\'(-inf-3.425]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(-inf-3.775]\'','\'(-inf-3.25]\'','\'(76.1348-inf)\'','\'(0.7608-inf)\'','\'(3.0188-6.0368]\'','\'(-inf-6.924]\'',?,'\'(-inf-84.4183]\''
France,Stable,'\'(3.25-5.5]\'','\'(-inf-3.25]\'','\'(5.65-7.825]\'','\'(3.4-5.6]\'','\'(-inf-3.25]\'','\'(-inf-3.425]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(-inf-3.775]\'','\'(-inf-3.25]\'','\'(76.1348-inf)\'','\'(0.7608-inf)\'','\'(-inf-3.0188]\'','\'(6.924-13.726]\'',?,'\'(-inf-84.4183]\''
'United Kingdom',Stable,'\'(-inf-3.25]\'','\'(3.25-5.5]\'','\'(5.65-7.825]\'','\'(3.4-5.6]\'','\'(3.25-5.5]\'','\'(-inf-3.425]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(-inf-3.775]\'','\'(-inf-3.25]\'','\'(76.1348-inf)\'','\'(0.7608-inf)\'','\'(-inf-3.0188]\'','\'(-inf-6.924]\'',?,'\'(-inf-84.4183]\''
Singapore,Stable,'\'(-inf-3.25]\'','\'(3.25-5.5]\'','\'(-inf-3.475]\'','\'(-inf-3.4]\'','\'(3.25-5.5]\'','\'(-inf-3.425]\'','\'(3.1-5.4]\'','\'(-inf-3.25]\'','\'(3.2-5.4]\'','\'(-inf-3.325]\'','\'(-inf-3.775]\'','\'(-inf-3.25]\'','\'(76.1348-inf)\'','\'(0.7608-inf)\'','\'(3.0188-6.0368]\'','\'(-inf-6.924]\'',?,'\'(-inf-84.4183]\''
Slovenia,Stable,'\'(-inf-3.25]\'','\'(-inf-3.25]\'','\'(3.475-5.65]\'','\'(3.4-5.6]\'','\'(3.25-5.5]\'','\'(-inf-3.425]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(3.775-5.85]\'','\'(-inf-3.25]\'','\'(76.1348-inf)\'','\'(0.7608-inf)\'','\'(-inf-3.0188]\'','\'(-inf-6.924]\'',?,'\'(-inf-84.4183]\''
Belgium,Stable,'\'(-inf-3.25]\'','\'(3.25-5.5]\'','\'(3.475-5.65]\'','\'(3.4-5.6]\'','\'(-inf-3.25]\'','\'(-inf-3.425]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(-inf-3.775]\'','\'(-inf-3.25]\'','\'(76.1348-inf)\'','\'(0.7608-inf)\'','\'(-inf-3.0188]\'','\'(6.924-13.726]\'',?,'\'(-inf-84.4183]\''
Portugal,Sustainable,'\'(-inf-3.25]\'','\'(-inf-3.25]\'','\'(-inf-3.475]\'','\'(3.4-5.6]\'','\'(-inf-3.25]\'','\'(-inf-3.425]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(-inf-3.775]\'','\'(-inf-3.25]\'','\'(76.1348-inf)\'','\'(0.7608-inf)\'','\'(-inf-3.0188]\'','\'(6.924-13.726]\'',?,'\'(-inf-84.4183]\''
Germany,Sustainable,'\'(-inf-3.25]\'','\'(-inf-3.25]\'','\'(3.475-5.65]\'','\'(-inf-3.4]\'','\'(-inf-3.25]\'','\'(-inf-3.425]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(3.775-5.85]\'','\'(-inf-3.25]\'','\'(76.1348-inf)\'','\'(0.7608-inf)\'','\'(-inf-3.0188]\'','\'(-inf-6.924]\'',?,'\'(-inf-84.4183]\''
Austria,Sustainable,'\'(-inf-3.25]\'','\'(-inf-3.25]\'','\'(3.475-5.65]\'','\'(-inf-3.4]\'','\'(-inf-3.25]\'','\'(-inf-3.425]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(3.775-5.85]\'','\'(-inf-3.25]\'','\'(76.1348-inf)\'','\'(0.7608-inf)\'','\'(-inf-3.0188]\'','\'(-inf-6.924]\'',?,'\'(-inf-84.4183]\''
Netherlands,Sustainable,'\'(-inf-3.25]\'','\'(-inf-3.25]\'','\'(3.475-5.65]\'','\'(-inf-3.4]\'','\'(-inf-3.25]\'','\'(-inf-3.425]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(3.775-5.85]\'','\'(-inf-3.25]\'','\'(76.1348-inf)\'','\'(0.7608-inf)\'','\'(-inf-3.0188]\'','\'(-inf-6.924]\'',?,'\'(-inf-84.4183]\''
Luxembourg,Sustainable,'\'(-inf-3.25]\'','\'(3.25-5.5]\'','\'(-inf-3.475]\'','\'(-inf-3.4]\'','\'(-inf-3.25]\'','\'(-inf-3.425]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(-inf-3.775]\'','\'(-inf-3.25]\'','\'(76.1348-inf)\'','\'(0.7608-inf)\'','\'(-inf-3.0188]\'','\'(-inf-6.924]\'',?,'\'(-inf-84.4183]\''
Canada,Sustainable,'\'(-inf-3.25]\'','\'(-inf-3.25]\'','\'(-inf-3.475]\'','\'(-inf-3.4]\'','\'(-inf-3.25]\'','\'(-inf-3.425]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(-inf-3.775]\'','\'(-inf-3.25]\'','\'(76.1348-inf)\'','\'(0.7608-inf)\'','\'(-inf-3.0188]\'','\'(-inf-6.924]\'',?,'\'(-inf-84.4183]\''
'New Zealand',Sustainable,'\'(-inf-3.25]\'','\'(-inf-3.25]\'','\'(3.475-5.65]\'','\'(3.4-5.6]\'','\'(-inf-3.25]\'','\'(-inf-3.425]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(-inf-3.775]\'','\'(-inf-3.25]\'','\'(76.1348-inf)\'','\'(0.7608-inf)\'','\'(-inf-3.0188]\'','\'(-inf-6.924]\'',?,'\'(-inf-84.4183]\''
Iceland,Sustainable,'\'(-inf-3.25]\'','\'(-inf-3.25]\'','\'(-inf-3.475]\'','\'(-inf-3.4]\'','\'(-inf-3.25]\'','\'(-inf-3.425]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(-inf-3.775]\'','\'(3.25-5.5]\'','\'(76.1348-inf)\'','\'(0.7608-inf)\'',?,'\'(-inf-6.924]\'',?,'\'(-inf-84.4183]\''
Australia,Sustainable,'\'(-inf-3.25]\'','\'(-inf-3.25]\'','\'(3.475-5.65]\'','\'(-inf-3.4]\'','\'(-inf-3.25]\'','\'(-inf-3.425]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(-inf-3.775]\'','\'(-inf-3.25]\'','\'(76.1348-inf)\'','\'(0.7608-inf)\'','\'(-inf-3.0188]\'','\'(-inf-6.924]\'',?,'\'(-inf-84.4183]\''
Ireland,Sustainable,'\'(-inf-3.25]\'','\'(-inf-3.25]\'','\'(-inf-3.475]\'','\'(-inf-3.4]\'','\'(-inf-3.25]\'','\'(-inf-3.425]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(-inf-3.775]\'','\'(-inf-3.25]\'','\'(76.1348-inf)\'','\'(0.7608-inf)\'','\'(-inf-3.0188]\'','\'(-inf-6.924]\'',?,'\'(-inf-84.4183]\''
Sweden,Sustainable,'\'(-inf-3.25]\'','\'(-inf-3.25]\'','\'(-inf-3.475]\'','\'(-inf-3.4]\'','\'(-inf-3.25]\'','\'(-inf-3.425]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(3.775-5.85]\'','\'(-inf-3.25]\'','\'(76.1348-inf)\'','\'(0.7608-inf)\'','\'(-inf-3.0188]\'','\'(-inf-6.924]\'',?,'\'(-inf-84.4183]\''
Denmark,Sustainable,'\'(-inf-3.25]\'','\'(-inf-3.25]\'','\'(3.475-5.65]\'','\'(-inf-3.4]\'','\'(-inf-3.25]\'','\'(-inf-3.425]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(-inf-3.775]\'','\'(-inf-3.25]\'','\'(76.1348-inf)\'','\'(0.7608-inf)\'','\'(-inf-3.0188]\'','\'(-inf-6.924]\'',?,'\'(-inf-84.4183]\''
Switzerland,Sustainable,'\'(-inf-3.25]\'','\'(-inf-3.25]\'','\'(3.475-5.65]\'','\'(-inf-3.4]\'','\'(-inf-3.25]\'','\'(-inf-3.425]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(-inf-3.775]\'','\'(-inf-3.25]\'','\'(76.1348-inf)\'','\'(0.7608-inf)\'','\'(-inf-3.0188]\'','\'(-inf-6.924]\'',?,'\'(-inf-84.4183]\''
Norway,Sustainable,'\'(-inf-3.25]\'','\'(-inf-3.25]\'','\'(3.475-5.65]\'','\'(-inf-3.4]\'','\'(-inf-3.25]\'','\'(-inf-3.425]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(-inf-3.775]\'','\'(-inf-3.25]\'','\'(76.1348-inf)\'','\'(0.7608-inf)\'','\'(-inf-3.0188]\'','\'(-inf-6.924]\'',?,'\'(-inf-84.4183]\''
Finland,Sustainable,'\'(-inf-3.25]\'','\'(-inf-3.25]\'','\'(-inf-3.475]\'','\'(3.4-5.6]\'','\'(-inf-3.25]\'','\'(-inf-3.425]\'','\'(-inf-3.1]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(-inf-3.325]\'','\'(-inf-3.775]\'','\'(-inf-3.25]\'','\'(76.1348-inf)\'','\'(0.7608-inf)\'','\'(-inf-3.0188]\'','\'(6.924-13.726]\'',?,'\'(-inf-84.4183]\''
