Country,Total,'C1: Security Apparatus','C2: Factionalized Elites','C3: Group Grievance','E1: Economy','E2: Economic Inequality','E3: Human Flight and Brain Drain','P1: State Legitimacy','P2: Public Services','P3: Human Rights','S1: Demographic Pressures','S2: Refugees and IDPs','X1: External Intervention'
'South Sudan',Alert,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(7.8-inf)\'','\'(7.75-inf)\'','\'(5.55-7.675]\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(7.775-inf)\'','\'(7.925-inf)\'','\'(7.75-inf)\''
Somalia,Alert,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(7.8-inf)\'','\'(7.75-inf)\'','\'(7.675-inf)\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(7.775-inf)\'','\'(7.925-inf)\'','\'(7.75-inf)\''
'Central African Republic',Alert,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(7.8-inf)\'','\'(7.75-inf)\'','\'(5.55-7.675]\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(7.775-inf)\'','\'(7.925-inf)\'','\'(7.75-inf)\''
Yemen,Alert,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(7.8-inf)\'','\'(7.75-inf)\'','\'(5.55-7.675]\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(7.775-inf)\'','\'(7.925-inf)\'','\'(7.75-inf)\''
Sudan,Alert,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(7.8-inf)\'','\'(5.5-7.75]\'','\'(7.675-inf)\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(7.775-inf)\'','\'(7.925-inf)\'','\'(7.75-inf)\''
Syria,Alert,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(7.8-inf)\'','\'(5.5-7.75]\'','\'(7.675-inf)\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(7.775-inf)\'','\'(7.925-inf)\'','\'(7.75-inf)\''
'Congo Democratic Republic',Alert,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(7.8-inf)\'','\'(7.75-inf)\'','\'(5.55-7.675]\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(7.775-inf)\'','\'(7.925-inf)\'','\'(7.75-inf)\''
Chad,Alert,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(7.8-inf)\'','\'(7.75-inf)\'','\'(7.675-inf)\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(7.775-inf)\'','\'(7.925-inf)\'','\'(7.75-inf)\''
Afghanistan,Alert,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(7.8-inf)\'','\'(5.5-7.75]\'','\'(7.675-inf)\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(7.775-inf)\'','\'(7.925-inf)\'','\'(7.75-inf)\''
Iraq,Alert,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(5.6-7.8]\'','\'(5.5-7.75]\'','\'(7.675-inf)\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(7.775-inf)\'','\'(7.925-inf)\'','\'(7.75-inf)\''
Haiti,Alert,'\'(5.5-7.75]\'','\'(7.75-inf)\'','\'(5.65-7.825]\'','\'(7.8-inf)\'','\'(7.75-inf)\'','\'(7.675-inf)\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(5.4-7.6]\'','\'(7.775-inf)\'','\'(5.85-7.925]\'','\'(7.75-inf)\''
Guinea,Alert,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(7.8-inf)\'','\'(5.5-7.75]\'','\'(5.55-7.675]\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(7.775-inf)\'','\'(7.925-inf)\'','\'(5.5-7.75]\''
Nigeria,Alert,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(7.8-inf)\'','\'(7.75-inf)\'','\'(5.55-7.675]\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(7.775-inf)\'','\'(5.85-7.925]\'','\'(5.5-7.75]\''
Zimbabwe,Alert,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(5.65-7.825]\'','\'(7.8-inf)\'','\'(7.75-inf)\'','\'(7.675-inf)\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(7.775-inf)\'','\'(7.925-inf)\'','\'(5.5-7.75]\''
Ethiopia,Alert,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(5.6-7.8]\'','\'(5.5-7.75]\'','\'(5.55-7.675]\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(7.775-inf)\'','\'(7.925-inf)\'','\'(7.75-inf)\''
'Guinea Bissau',Alert,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(3.475-5.65]\'','\'(7.8-inf)\'','\'(7.75-inf)\'','\'(7.675-inf)\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(5.4-7.6]\'','\'(7.775-inf)\'','\'(5.85-7.925]\'','\'(7.75-inf)\''
Burundi,Alert,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(7.8-inf)\'','\'(5.5-7.75]\'','\'(5.55-7.675]\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(7.775-inf)\'','\'(7.925-inf)\'','\'(7.75-inf)\''
Pakistan,Alert,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(5.6-7.8]\'','\'(5.5-7.75]\'','\'(5.55-7.675]\'','\'(7.7-inf)\'','\'(5.5-7.75]\'','\'(7.6-inf)\'','\'(7.775-inf)\'','\'(7.925-inf)\'','\'(7.75-inf)\''
Eritrea,Alert,'\'(5.5-7.75]\'','\'(7.75-inf)\'','\'(5.65-7.825]\'','\'(7.8-inf)\'','\'(7.75-inf)\'','\'(7.675-inf)\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(7.775-inf)\'','\'(7.925-inf)\'','\'(5.5-7.75]\''
Niger,Alert,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(5.6-7.8]\'','\'(7.75-inf)\'','\'(5.55-7.675]\'','\'(5.4-7.7]\'','\'(7.75-inf)\'','\'(5.4-7.6]\'','\'(7.775-inf)\'','\'(5.85-7.925]\'','\'(7.75-inf)\''
'Cote dIvoire',Alert,'\'(5.5-7.75]\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(5.6-7.8]\'','\'(7.75-inf)\'','\'(5.55-7.675]\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(7.775-inf)\'','\'(5.85-7.925]\'','\'(7.75-inf)\''
Kenya,Alert,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(5.6-7.8]\'','\'(7.75-inf)\'','\'(5.55-7.675]\'','\'(5.4-7.7]\'','\'(7.75-inf)\'','\'(5.4-7.6]\'','\'(7.775-inf)\'','\'(7.925-inf)\'','\'(7.75-inf)\''
Libya,Alert,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(7.8-inf)\'','\'(5.5-7.75]\'','\'(5.55-7.675]\'','\'(7.7-inf)\'','\'(5.5-7.75]\'','\'(7.6-inf)\'','\'(3.325-5.55]\'','\'(7.925-inf)\'','\'(7.75-inf)\''
Uganda,Alert,'\'(5.5-7.75]\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(3.4-5.6]\'','\'(5.5-7.75]\'','\'(5.55-7.675]\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(7.775-inf)\'','\'(7.925-inf)\'','\'(7.75-inf)\''
Myanmar,Alert,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(5.6-7.8]\'','\'(5.5-7.75]\'','\'(5.55-7.675]\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(5.55-7.775]\'','\'(7.925-inf)\'','\'(5.5-7.75]\''
Cameroon,Alert,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(5.6-7.8]\'','\'(5.5-7.75]\'','\'(5.55-7.675]\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(5.4-7.6]\'','\'(7.775-inf)\'','\'(7.925-inf)\'','\'(7.75-inf)\''
Liberia,Alert,'\'(5.5-7.75]\'','\'(7.75-inf)\'','\'(5.65-7.825]\'','\'(7.8-inf)\'','\'(7.75-inf)\'','\'(5.55-7.675]\'','\'(5.4-7.7]\'','\'(7.75-inf)\'','\'(5.4-7.6]\'','\'(7.775-inf)\'','\'(7.925-inf)\'','\'(7.75-inf)\''
Mauritania,Alert,'\'(5.5-7.75]\'','\'(7.75-inf)\'','\'(5.65-7.825]\'','\'(5.6-7.8]\'','\'(5.5-7.75]\'','\'(5.55-7.675]\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(7.775-inf)\'','\'(7.925-inf)\'','\'(7.75-inf)\''
'Congo Republic',Alert,'\'(5.5-7.75]\'','\'(5.5-7.75]\'','\'(5.65-7.825]\'','\'(5.6-7.8]\'','\'(7.75-inf)\'','\'(5.55-7.675]\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(7.775-inf)\'','\'(5.85-7.925]\'','\'(5.5-7.75]\''
'North Korea',Alert,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(5.65-7.825]\'','\'(7.8-inf)\'','\'(5.5-7.75]\'','\'(3.425-5.55]\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(5.55-7.775]\'','\'(3.775-5.85]\'','\'(7.75-inf)\''
Mali,Alert,'\'(7.75-inf)\'','\'(3.25-5.5]\'','\'(5.65-7.825]\'','\'(5.6-7.8]\'','\'(5.5-7.75]\'','\'(7.675-inf)\'','\'(5.4-7.7]\'','\'(7.75-inf)\'','\'(5.4-7.6]\'','\'(7.775-inf)\'','\'(5.85-7.925]\'','\'(7.75-inf)\''
Angola,Alert,'\'(5.5-7.75]\'','\'(5.5-7.75]\'','\'(5.65-7.825]\'','\'(5.6-7.8]\'','\'(7.75-inf)\'','\'(5.55-7.675]\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(5.4-7.6]\'','\'(7.775-inf)\'','\'(5.85-7.925]\'','\'(3.25-5.5]\''
Nepal,Alert,'\'(5.5-7.75]\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(5.6-7.8]\'','\'(5.5-7.75]\'','\'(5.55-7.675]\'','\'(5.4-7.7]\'','\'(5.5-7.75]\'','\'(7.6-inf)\'','\'(7.775-inf)\'','\'(5.85-7.925]\'','\'(5.5-7.75]\''
Rwanda,Alert,'\'(5.5-7.75]\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(5.6-7.8]\'','\'(7.75-inf)\'','\'(5.55-7.675]\'','\'(5.4-7.7]\'','\'(5.5-7.75]\'','\'(5.4-7.6]\'','\'(7.775-inf)\'','\'(7.925-inf)\'','\'(5.5-7.75]\''
Timor-Leste,Alert,'\'(5.5-7.75]\'','\'(7.75-inf)\'','\'(5.65-7.825]\'','\'(7.8-inf)\'','\'(5.5-7.75]\'','\'(5.55-7.675]\'','\'(5.4-7.7]\'','\'(7.75-inf)\'','\'(3.2-5.4]\'','\'(7.775-inf)\'','\'(5.85-7.925]\'','\'(7.75-inf)\''
Egypt,Warning,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(7.8-inf)\'','\'(5.5-7.75]\'','\'(3.425-5.55]\'','\'(7.7-inf)\'','\'(3.25-5.5]\'','\'(7.6-inf)\'','\'(5.55-7.775]\'','\'(5.85-7.925]\'','\'(7.75-inf)\''
Gambia,Warning,'\'(5.5-7.75]\'','\'(7.75-inf)\'','\'(3.475-5.65]\'','\'(7.8-inf)\'','\'(5.5-7.75]\'','\'(7.675-inf)\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(7.775-inf)\'','\'(5.85-7.925]\'','\'(5.5-7.75]\''
'Sierra Leone',Warning,'\'(3.25-5.5]\'','\'(7.75-inf)\'','\'(5.65-7.825]\'','\'(7.8-inf)\'','\'(7.75-inf)\'','\'(7.675-inf)\'','\'(5.4-7.7]\'','\'(7.75-inf)\'','\'(3.2-5.4]\'','\'(7.775-inf)\'','\'(5.85-7.925]\'','\'(7.75-inf)\''
Bangladesh,Warning,'\'(5.5-7.75]\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(5.6-7.8]\'','\'(5.5-7.75]\'','\'(7.675-inf)\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(5.4-7.6]\'','\'(5.55-7.775]\'','\'(5.85-7.925]\'','\'(5.5-7.75]\''
Mozambique,Warning,'\'(5.5-7.75]\'','\'(5.5-7.75]\'','\'(3.475-5.65]\'','\'(7.8-inf)\'','\'(7.75-inf)\'','\'(7.675-inf)\'','\'(5.4-7.7]\'','\'(7.75-inf)\'','\'(5.4-7.6]\'','\'(7.775-inf)\'','\'(3.775-5.85]\'','\'(7.75-inf)\''
Djibouti,Warning,'\'(5.5-7.75]\'','\'(5.5-7.75]\'','\'(5.65-7.825]\'','\'(5.6-7.8]\'','\'(7.75-inf)\'','\'(3.425-5.55]\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(7.775-inf)\'','\'(5.85-7.925]\'','\'(7.75-inf)\''
Swaziland,Warning,'\'(5.5-7.75]\'','\'(5.5-7.75]\'','\'(-inf-3.475]\'','\'(7.8-inf)\'','\'(7.75-inf)\'','\'(5.55-7.675]\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(7.775-inf)\'','\'(3.775-5.85]\'','\'(5.5-7.75]\''
Lebanon,Warning,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(5.6-7.8]\'','\'(5.5-7.75]\'','\'(3.425-5.55]\'','\'(5.4-7.7]\'','\'(5.5-7.75]\'','\'(5.4-7.6]\'','\'(5.55-7.775]\'','\'(7.925-inf)\'','\'(7.75-inf)\''
'Burkina Faso',Warning,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(3.475-5.65]\'','\'(5.6-7.8]\'','\'(7.75-inf)\'','\'(5.55-7.675]\'','\'(5.4-7.7]\'','\'(7.75-inf)\'','\'(5.4-7.6]\'','\'(7.775-inf)\'','\'(5.85-7.925]\'','\'(5.5-7.75]\''
Malawi,Warning,'\'(3.25-5.5]\'','\'(7.75-inf)\'','\'(3.475-5.65]\'','\'(7.8-inf)\'','\'(7.75-inf)\'','\'(7.675-inf)\'','\'(5.4-7.7]\'','\'(7.75-inf)\'','\'(5.4-7.6]\'','\'(7.775-inf)\'','\'(3.775-5.85]\'','\'(7.75-inf)\''
Zambia,Warning,'\'(3.25-5.5]\'','\'(5.5-7.75]\'','\'(5.65-7.825]\'','\'(7.8-inf)\'','\'(7.75-inf)\'','\'(7.675-inf)\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(5.4-7.6]\'','\'(7.775-inf)\'','\'(5.85-7.925]\'','\'(5.5-7.75]\''
'Sri Lanka',Warning,'\'(5.5-7.75]\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(3.4-5.6]\'','\'(5.5-7.75]\'','\'(7.675-inf)\'','\'(5.4-7.7]\'','\'(3.25-5.5]\'','\'(7.6-inf)\'','\'(5.55-7.775]\'','\'(7.925-inf)\'','\'(5.5-7.75]\''
'Papua New Guinea',Warning,'\'(5.5-7.75]\'','\'(5.5-7.75]\'','\'(5.65-7.825]\'','\'(5.6-7.8]\'','\'(7.75-inf)\'','\'(5.55-7.675]\'','\'(5.4-7.7]\'','\'(7.75-inf)\'','\'(5.4-7.6]\'','\'(7.775-inf)\'','\'(3.775-5.85]\'','\'(5.5-7.75]\''
Iran,Warning,'\'(5.5-7.75]\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(5.6-7.8]\'','\'(5.5-7.75]\'','\'(5.55-7.675]\'','\'(7.7-inf)\'','\'(3.25-5.5]\'','\'(7.6-inf)\'','\'(3.325-5.55]\'','\'(5.85-7.925]\'','\'(5.5-7.75]\''
Cambodia,Warning,'\'(5.5-7.75]\'','\'(7.75-inf)\'','\'(5.65-7.825]\'','\'(5.6-7.8]\'','\'(5.5-7.75]\'','\'(5.55-7.675]\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(5.55-7.775]\'','\'(3.775-5.85]\'','\'(5.5-7.75]\''
'Equatorial Guinea',Warning,'\'(5.5-7.75]\'','\'(7.75-inf)\'','\'(5.65-7.825]\'','\'(5.6-7.8]\'','\'(7.75-inf)\'','\'(3.425-5.55]\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(7.6-inf)\'','\'(5.55-7.775]\'','\'(3.775-5.85]\'','\'(3.25-5.5]\''
Comoros,Warning,'\'(5.5-7.75]\'','\'(7.75-inf)\'','\'(3.475-5.65]\'','\'(7.8-inf)\'','\'(5.5-7.75]\'','\'(5.55-7.675]\'','\'(5.4-7.7]\'','\'(7.75-inf)\'','\'(5.4-7.6]\'','\'(5.55-7.775]\'','\'(3.775-5.85]\'','\'(7.75-inf)\''
'Solomon Islands',Warning,'\'(5.5-7.75]\'','\'(7.75-inf)\'','\'(5.65-7.825]\'','\'(5.6-7.8]\'','\'(7.75-inf)\'','\'(5.55-7.675]\'','\'(5.4-7.7]\'','\'(5.5-7.75]\'','\'(3.2-5.4]\'','\'(7.775-inf)\'','\'(3.775-5.85]\'','\'(7.75-inf)\''
Philippines,Warning,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(3.4-5.6]\'','\'(5.5-7.75]\'','\'(5.55-7.675]\'','\'(5.4-7.7]\'','\'(5.5-7.75]\'','\'(5.4-7.6]\'','\'(5.55-7.775]\'','\'(5.85-7.925]\'','\'(5.5-7.75]\''
Madagascar,Warning,'\'(5.5-7.75]\'','\'(7.75-inf)\'','\'(3.475-5.65]\'','\'(5.6-7.8]\'','\'(7.75-inf)\'','\'(5.55-7.675]\'','\'(5.4-7.7]\'','\'(7.75-inf)\'','\'(5.4-7.6]\'','\'(7.775-inf)\'','\'(3.775-5.85]\'','\'(5.5-7.75]\''
Togo,Warning,'\'(5.5-7.75]\'','\'(5.5-7.75]\'','\'(3.475-5.65]\'','\'(5.6-7.8]\'','\'(7.75-inf)\'','\'(5.55-7.675]\'','\'(7.7-inf)\'','\'(7.75-inf)\'','\'(5.4-7.6]\'','\'(7.775-inf)\'','\'(5.85-7.925]\'','\'(5.5-7.75]\''
Guatemala,Warning,'\'(5.5-7.75]\'','\'(5.5-7.75]\'','\'(7.825-inf)\'','\'(3.4-5.6]\'','\'(7.75-inf)\'','\'(5.55-7.675]\'','\'(5.4-7.7]\'','\'(5.5-7.75]\'','\'(5.4-7.6]\'','\'(5.55-7.775]\'','\'(3.775-5.85]\'','\'(3.25-5.5]\''
Venezuela,Warning,'\'(5.5-7.75]\'','\'(7.75-inf)\'','\'(5.65-7.825]\'','\'(5.6-7.8]\'','\'(5.5-7.75]\'','\'(3.425-5.55]\'','\'(7.7-inf)\'','\'(5.5-7.75]\'','\'(7.6-inf)\'','\'(5.55-7.775]\'','\'(3.775-5.85]\'','\'(3.25-5.5]\''
Laos,Warning,'\'(3.25-5.5]\'','\'(7.75-inf)\'','\'(5.65-7.825]\'','\'(3.4-5.6]\'','\'(5.5-7.75]\'','\'(7.675-inf)\'','\'(7.7-inf)\'','\'(5.5-7.75]\'','\'(7.6-inf)\'','\'(5.55-7.775]\'','\'(3.775-5.85]\'','\'(5.5-7.75]\''
